title,Departments,keywords
"Mula, Misgogny, & Emcees: An Analysis of the Marketing Strategies Used By Female Rappers To Expand Their Brands",Communication,"brand, female rappers, marketing strategies, hip-hop"
What Are Your Plans For Next Year?: An Assessment of The Career Decision-Making Self-Efficacy and Career Maturity of Adolescents With Hearing Loss,Communication,"Career Decision-Making, Career Maturity, CDMSE, Deaf or Hard of Hearing"
"Are Speech And Singing Equivalent?: The Performance Of Childhood Apraxia Of Speech, Articulation Disorders, And Typical Development On Speech And Musical Tasks",Communication,"Childhood Apraxia of speech, acoustic, motor performance"
Strengthening the Bonds Between Brothers: Implementing Clifton StrengthsFinders to the Men of Harambee,Communication,"Clifton StrengthsFinders, Black male, success, identification, higher education, autoethnography"
"""I Did My Job With A Plum"": Hearing, Hard of Hearing, and Deaf Young Adults' Perspectives of Their Access to Closed-Captioning",Communication,"closed-captioning, accessibility, young adults with hearing loss"
"""I Did My Job With A Plum"": Hearing, Hard of Hearing, and Deaf Young Adults' Perspectives of Their Access to Closed-Captioning",Communication,"closed-captioning, deaf, quality, availability, access, young adults"
"Professionals' Perceptions Regarding the Knowledge, Components and Materials For Adudiologic Rehabilitation With Adult Cochlear Implant Recipients",Communication,"cochlear implant, audiologic rehabilition, adult, clinicians"
ONCE UPON A TIME: HOW THE ORAL NARRATIVE ABILITIES OF CHILDREN WITH COCHLEAR IMPLANTS COMPARE WITH THEIR HEARING PEERS,Communication,"cochlear implant, auditory-verbal therapy, narrative, microstructure, and macrostructure"
Once Upon a Time: How the Oral Narrative Abilities of Children with Cochlear Implants Compare with their Hearing Peers,Communication,"cochlear implant, narrative, microstructure, and macrostructure"
Parents' Perceptions of Their Childrens' Health-Related Quality of Life: A Study of Pediatric Cochlear Implants and Listening and Spoken Language,Communication,"cochlear implants, health-realted quality of life"
Professional Perceptions of Auditory Rehabilitation Specialists Regarding Which Components of Music Training Programs Designed For Adult Cochlear Implant Recipients Are Most Effective in Improving Music Enjoyment,Communication,"cochlear implants, music appreciation, music training programs"
Truthiness in News: How Stephen Colbert Embodies and Critiques Conventional News Through and Ironic Persona,Communication,"colbert, truthiness, journalism, media, news, irony, politics, postmodernism, media literacy, simulation, super pac"
Let's talk about it! An Analysis of the Collaboration among Speech-Language Pathologists and Second through Fourth Grade Teachers who Serve Students with Language Impairments,Communication,"collaboration, language impairments, speech-language pathologists, teachers"
"Town, Gown, and College Sound: An Investigation into the Community Relations Strategies of The College of Wooster’s Student-Run Radio Station",Communication,"college radio, community relations, image, student-run"
They Will Lie to You:  a Solution For Interorganizational Conflict Through a Quantitative Analysis of the Communication Patterns Between Law Enforcement and Journalists in Small Town America,Communication,"communication studies, police, media, conflict, organization, journalism"
Conflict and Reality Television: A Fantasy Theme Analysis Of Same-Sex Housemate Conflict on The Real World: Portland,Communication,"conflict, reality television"
It's So Me: a Study of Product Personality - Consumer Personality Congruence,Communication,"consumer, marketing, design, product-personality congruence, traits"
"Understanding Division-I Ethical Sports Scandals, Their Public Relations' Approaches, and Effects",Communication,"crisis communication, sports scandals"
Build a Future Worthy of You: An Ideological and Feminist Analysis of Latina Gender Representations in <em>East Los High</em>,Communication,"cultural studies, representation, ideology, Latina women"
"Ears, Hooks, Hunchbacks, and Fins: An Ideological Analysis of Physical Disability in Disney Animated Films",Communication,"disability, disney, stigma"
Mountains Stacked Against Them: An Investigation Into the Effectiveness of a Short-term Emergent Literacy Intervention for Children Attending Head Start in Rural West Virginia,Communication,"emergent literacy, short-term intervention, preschoolers, Head Start, poverty"
You've Been Greenwashed: A Study of Consumer Perceptions of Environmental Advertisements,Communication,"Environmental Advertising, Greenwashing, Deception"
Grass Is Always Greener: a Quantitative Study of Effective Messages in Producing Pro-Environmental Behaviors,Communication,"environmental communication, sustainability"
"From Cold Warrior to Peace Advocate: How John F. Kennedy Utilized Epideictic Progression in His June 10, 1963, Commencement Address at American University",Communication,"epideictic rhetoric, commencement address, presidential rhetoric, the cold war, epideictic progression, john f. kennedy"
A Study of College Students' Family Background and Perceptions of Family Television,Communication,"Family Communication, Family Background, Family Television"
Fashion Blogs... the New Black: the Creation of Identity and Use of Consumption Through Fashion Blogs Within the Millennial Generation,Communication,"fashion blogs, millennial generation, identity, consumption"
Exploring Fear Across the Pond: A Comparative Analysis of Media Scare Tactics and Vaccination/Autism Controversies Between the United States and the United Kingdom,Communication,"fear appeals, scare tactics, ideology, vaccination, autism, media, culture of fear"
The Widespread Appeal and Advocacy of Hayao Miyazaki: A Transnational Feminist Analysis of How Princess Mononoke and Spirited Away Unveil and Dismantle the Gendered Effects of the Nation-State and Globalization,Communication,"feminism, transnational feminism, transnational feminist analysis, globalization, capitalism, colonization, nation-state"
"To Be Young, Gifted, and Black: An Examination of the First Generation African-American Student Experience on A Predominantly White Campus using an Autoethnography and an Ethnographic Approach.",Communication,First Generation African-American Standpoint Theory
"To Be Young, Gifted, and Black: An Examination of the First Generation African-American Student Experience on A Predominantly White Campus Using an Autoethnography and an Ethnographic Approach",Communication,"first generation, African-American, standpoint theory"
"The Art of Gangs: How Law Enforcement Identifies and Responds to Symbols of Gang Activity, Including Non-Verbal Communication",Communication,"gang, gang activity, law enforcement, policing, non-verball communication"
Yaking About Celiac: An Experimental Analysis of the Effectiveness of Persuasive Message Strategies Used in a Public Health Campaign about Celiac Disease,Communication,"gluten-free, celiac, persuasive message strategies, protection motivation theory, health belief model, elaboration likelihood model, extended parallel process model, theory of reasoned action, health campaign"
An Ideological Analysis of the Media and Their Use of Fear as a Rhetorical Tactic in an Attempt to Persuade the American Public on Their Stance on Gun Control,Communication,"gun control, media, rhetorical tactic, firearms"
An Ideological Analysis Of The Media And Their Use Of Fear As A Rhetorical Tactic In An Attempt To Persuade The American Public On Their Stance On Gun Control,Communication,"gun control, media, rhetorical tactic, firearms"
“Pottermania:” The Representations of Female Characters in Harry Potter Films,Communication,"Harry Potter, Feminist Analysis, female representations, gender"
The Cochlear Implant Effect: An Investigation of College Students’ Perceptions of Children with Cochlear Implants,Communication,"hearing aid effect, cochlear implant effect, cochlear implants, stigma"
Hearing the Needs of the Developing World: A Study of the Clinical Practices Used by Audiologists when Fitting Hearing Aids in Developing Countries,Communication,"hearing aids, humanitarian audiology, mission trips, developing nations"
"Knowledge, Skills, and Abilities of Regular Education Elementary School Teachers in Educating Mainstreamed Students Who Are Deaf or Hard of Hearing",Communication,"hearing loss, mainstreaming"
Identity in Social Networking Sites: The Presentation of Self Through Photographs on Facebook and Instagram,Communication,"identity, social media, Facebook, Instagram, Imagined Audience"
Idolatry of Ideology: An Ideological Analysis of the Music of Bruce Cockburn,Communication,"ideology, music, rhetoric, hegemony"
Can you hear me now?: Ideological Analysis of Race and Gender in Verizon Wireless Television Commercials,Communication,"ideology, stereotypes, race, gender, television, cell phone"
The Interception of Perceptions: An Analysis of Campus Perceptions of the Varsity Football Team Using Integrated Marketing Communications,Communication,"Integrated Marketing Communications, public relations, marketing"
Living the iLife: a Descriptive Analysis of the Impact of Technology on Dating Relationships,Communication,"intimacy, satisfaction, affection"
The Hierarchy: Understanding How Men and Women Negotiate Power and Its Usage Within Sex Homogeneous Small Groups,Communication,"intragroup, male, female, power, influence"
"Harmony, Elaborateness, and Naturalness: An Aanalysis of The Influence of Graphic Design Elements and Color In Logos.",Communication,"logos, graphic design, visual communication"
The Effect of Written Message Appeals in Advertisements on Attitudes toward a Weight-Loss Supplement and the Product Advertisement,Communication,"Message Appeal, weight-loss supplement"
The Development of Metalinguistic Awareness of Grammatical and Morphological Errors Found in Children's Literature,Communication,"metalinguistic awareness, grammar, children, acquisition, children’s literature"
"Fire From the Stars to Spark Enlightenment and Action in a Generation: Drawing From Scholarly Research to Create a Digital Magazine For the Millennial Generation in the Realm of Travel, Culture, and Civic Engagement",Communication,"millennial, generation, civic engagement, travel, culture, symbolic convergence theory, applied communication research, digital, digital magazine, globalization, generation y, digital natives, echo boomers, generation why?"
Dieting Alternative or Just a Fad?: An Ideological Analysis of Mindful Eating Blogs,Communication,"mindful eating, blogs, ideology"
Dieting Alternative or Just a fad?,Communication,"mindful eating, blogs, ideology, dieting, food, eating, mindfulness"
Discovering Stories Through Setting: A Narrative Analysis of Urban Decay in Photographs of Detroit,Communication,"narrative, Detroit, photographs, urban decay"
Beware The Phantom Piper: An Analysis of Noise Exposure and Hearing Loss For Student Musicians,Communication,"noise-induced hearing loss, student musicians, hearing loss prevention"
Influences of Age and Education Level on Non-Literal Language Usage in Adults,Communication,"non-literal language, aging"
"“Water” You Waiting For?: A Narrative Analysis of How Charity:Water, Water.org, and Generosity Water Create Organizational Identities on Their Websites",Communication,"nonprofit, narrative, organizational identity, website"
The Knowledge and Use of Universal Newborn Hearing Screenings by Certified Nurse-Midwives Throughout the United States,Communication,"nurse-midwife, newborn, hearing screening"
Time to Occupy: a Study of the Folk and Hip-Hop Song Lyrics of Musicians Who Performed at Occupy Wall Street New York City,Communication,"occupy wall street, song lyrics, folk music, hip-hop music, fantasy theme analysis, music as protest, music in social movements"
"""But I'd Never Say the N-Word!"": White Students' Perceptions of Race, Racism, and White Privilege",Communication,"Race, Racism, White Privilege, Whiteness, Ethnographic Interviews, Communication Studies"
See Spot Read: How the Presence of a Therapy Dog Influences the Reading Skills of Children in the First-Grade,Communication,"reading skills, animal-assisted therapy, therapy dog, first-grade"
See Spot Read: How the Presence of a Therapy Dog Influences the Reading Skills of Children in the First-Grade,Communication,"reading skills, Animal-Assisted therapy, therapy dog, first-grade"
"""I Know How to Read, But I Can't Teach It"": The Effectiveness of a Short-Term Training Session on College-Aged Literacy Tutors' Knowledge of Reading Concepts",Communication,"reading, tutoring"
Say Yes to My Fair Bridezilla: a Q-Sorting Analysis of the Effects of Reality Tv Wedding Programming on College Women's Wedding Reception Desires,Communication,"reality tv, wedding, wedding receptions, women"
"Identity, Identification, and Vision: A Study Examining the Recruiting Strategies utilized by NCAA Division III College Coaches",Communication,"recruiting, student-athlete, NCAA, Division III"
"What Do a Princess, a Caveman, a Vampire, and Fairies Have In Common?: An Investigation of the Representations of Gender and Sexuality in Modern Animated Children's Films",Communication,"representation, gender, sexuality, children’s media"
Words Do Hurt: A Quantitative Analysis of Verbal Abuse in Romantic Relationships,Communication,"Romantic relationships, verbal abuse, texting"
The Business of Social Media: A Qualitative Analysis on how and why Businesses and Brands Use Social Media Marketing for Strategic Consumer Communication,Communication,"social media marketing, marketing, brand-consumer interaction, strategic marketing communication"
The Business of Social Media: A Qualitative Analysis on How and Why Businesses and Brands Use Social Media Marketing for Strategic Consumer Communication,Communication,"Social Media Marketing, marketing, social media, strategic communication"
Seize the Internet: Using Facebook As a Successful Marketing Tool For New Companies,Communication,"social media, facebook, marketing, promotion, new media, technology, web 2.0, electronic word of mouth, to inform, to persuade, to entertain, to reward, communication, messages, youtube"
"Do You ""Like"" It?: An Autoethnography and Ethnographic Study of How the Use and Absence From Facebook Impacts Millennials",Communication,"social networking site, facebook, identity, self-presentation, perception, millennial"
Speech-Language Pathologists’ Perceptions of Effective Therapy Techniques For Patients Who Have Primary Progressive Aphasia,Communication,"Speech-language pathologist, primary progressive aphasia, therapy techniques"
The Affordable Care Act as Cancer: An Ideological Analysis of Ted Cruz's 2013 Anti-ObamaCare Speech,Communication,"Ted Cruz, Tea Party, Affordable Care Act, Obamacare, Ideological Criticism"
Jihad Calling: a Rhetorical Fantasy Theme Analysis of Al Qaeda's Online Magazine Inspire,Communication,"terrorism, fantasy theme analysis, religious extremism, al qaeda, rhetoric"
Why Wooster? The College Selection Process of Student Athletes at The College of Wooster,Communication,"The College of Wooster, athletics, student athletes, NCAA Division III"
Audiologists' Knowledge of Tinnitus Treatment Among United States Military Veterans,Communication,"tinnitus, military, post-traumatic stress disorder, audiologist"
Modern Rhetoric on United States Governmental Internet Regulation: A Toulminian Analysis of Arguments from Both Key Sides,Communication,"Toulmin, Internet regulation, SOPA, PIPA"
Wellness: An Unmet Need for Survivors of Traumatic Brain Injury,Communication,"traumatic brain injury, wellness, speech-language pathology"
"The Gratifications of Playing League of Legends: Exploring the Motivations of Entertainment, Achievement, and Social Interaction",Communication,"video games, motivation, entertainment, achievement, social interaction"
The Healthy Sounds of Music: Vocal  Health in College Student Singers,Communication,"vocal, health, performance, knowledge, singers"
Say “I Don’t” to The Wedding Media: An Analysis of The Role of The Media On The American Bride’s Perception and Construction of The “Perfect Wedding”,Communication,"wedding, white wedding, perfect wedding, media, social media, bride, media influence"
You Witch!: a Feminist Rhetorical Criticism of the Transcribed Documents of the Salem Witchcraft Trials of 1692,Communication,"witchcraft, salem, feminist criticism, rheotrical criticism, communication studies"
iLearn: A Quantitative Study of the use of iPads in Early Word Learning,Communication,"word-learning, iPad books, static books"
The Effects of Paternalism and Conditional Giving On Prosocial Behaviors,Communication; Economics,"Giving, Conditional Scenarios, Paternalism, Identity"
The Effects of Teacher Nonverbal Immediacy on Students’ Motivation and Competence,Communication; Education,"Communication, Nonverbal Immediacy, Motivation, Competence"
"You Only Get Two: The Effects of a Hybrid Hearing Conservation Program on Elementary Students' Knowledge of, Attitude About, and Intended Behavior Towards Hearing Protection",Communication; Education,"hearing conservation, hearing conservation program, education, best practice, education research, preventative health care"
"“Is Television Media Influencing the Knowledge and Perception of an Urban Audience about Agriculture and Farmers?"": A Quantitative and Qualitative Audience Study of Agriculture Based TV Show, Soil and Men in Heart(SMH)",Communication; Environmental Studies,"Bangladesh, television media, agriculture, farmers, perception, urban-rural"
The Silent Protest: An Investigation of the 1988 Deaf President Now Movement,Communication; History,"Deaf President Now, student protest, Gallaudet University"
"Martin Luther King, Jr.'s 'I've Been to the Mountaintop' Speech: A Rhetorical Analysis of his Efforts to Motivate his Audience and to Re-establish his Leadership in the Civil Rights Movement",Communication; History,"Key Words: cluster criticism, cluster agon analysis, Martin Luther King, Jr., “God” and “Devil” terms, “I’ve Been to the Mountaintop, ” motive, Civil Rights Movement, injustice, unification"
Dueling For Their Votes: A Study on the Impact of Presidential Debate Rhetoric on Public Opinion,Communication; Political Science,"Presidential debates, rhetoric, public opinion, issue stances"
Internalization Measures Not Influenced By Media Image Presentation: An Examination of Female Athletes and Non-Athletes,Communication; Psychology,"body image, media, internalization, athletes"
Selling the Pill: Elaboration Likelihood Model and Hormonal Birth Control Messages,Communication; Psychology,"Contreeptives, Elaboration Likelihood Model, Advertisement"
Keeping the Dream There: A Study of Narratives on the Palestinian Right to Return,Communication; Religious Studies,"narrative, rhetorical characteristics, right to return, refugee, ethnographic interview, collective memory, Palestinian"
LenORE: Poe and Baudelaire at Play,Comparative Literature,"comparative literature, edgar allan poe, charles baudelaire, french, play, theatre"
Stranger Than Fiction: The Realism of the Unreal in Balzac's La Peau De Chagrin and Dostoevsky's Dvoinik,Comparative Literature,"dostoevsky, realism, balzac, french, russian"
DataLongLegs -- Web Application Development for Wooster City Schools,Computer Science,"Software engineering, MVC, ASP .NET, Web application, Database"
On Designing and Implementing Graphical User Interface for Mild Dementia and Early-Stage Alzheimer's Patients,Computer Science,"Alzheimer's, user interface, design"
Computer Vision: Object Recognition and Human-Computer Interaction,Computer Science,"computer vision, kinect, openni, libfreenect, gesture recognition"
An Examination and Application of Data Mining Techniques,Computer Science,"data mining, linux kernel, association rule, cluster analysis, data mining, linux kernel, association rule, cluster analysis"
Software Development for Wooster City Schools,Computer Science,"software development, software design, software engineering, database"
An Agent-Based Model of Influenza Within a College Population,Computer Science; Mathematics,"agent-based model, disease modeling, epidemiological model"
Conquering Carcassonne,Computer Science; Mathematics,"Artificial Intelligence, Game Theory, Bots, Carcassonne, Board Games, Video Games, Games, AI, GUI, Java"
Evolving Lambda-Calculus Functions Using Genetic Programming,Computer Science; Mathematics,"lambda calculus, genetic programming, evolve program, lambda tree"
Worlds as Real as Ours: Image Processing and Differential Photometry of Transiting Exoplanets,Computer Science; Physics,"exoplanets, image processing, astronomy, planetary sciences, software design"
A Specifically Korean Beauty: Understanding the Interplay of Modern Korean Cultural Identity and Korean Beauty Ideals,East Asian Studies,"modern, Korean, beauty, ideals, aesthetics, female"
Constructing Blackness: African American Women's Experiences in Japan: Constructing Blackness,East Asian Studies,"The College of Wooster, Senior IS, blackness, contemporary, African American, women’s experiences, Japan, popular culture"
Impact of Incentives on Worker Productivity: An Experimental Approach to the Role of Different Frame Manipulations on the Productivity of Workers in a Lab Experiment,Economics,"behavioral econ, frames, incentives, lab experiment"
Impact of FDI and Corruption on Chinese Economy,Economics,"business economics, fdi, corruption"
An Analysis of the Economic Impact of Organizational Involvement on the Donation Function of Wooster Alumni,Economics,"Charitable Donation, Alumni, Social Identity"
A Study on the Impact of School Consolidation on Student Academic Achievement,Economics,"economics, schools, consolidation, academic achievement"
"Examining the Efficiency of ""Superman"": The Comparision of Efficiency and Academic Achievement of Charter Schools Compared to Traditional Public Schools in Ohio",Economics,"education, charter schools, efficiency, academic achievement"
"From Survive to Thrive: The Impact of Human, Social, and Financial Capital on Entry Into Subsistence Entrepreneurship in Post-Conflict Nepal",Economics,"Entrepreneurship, Subsistence Entrepreneurship, Conflict, Post-Conflict, Capital, Human Capital, Social Capital, Financial Capital, Nepal, Development"
Technology Adoption: Achieving Environmentally Sustainable Growth in Developing Countries,Economics,"environmental kuznets curve, green solow growth model, environmentally sustainable development"
Opening New Doors For Investment: a Case Study of Foreign Direct Investment in Education and Its Impact on the Growth of India,Economics,"fdi, education, economic growth, india"
Examining the Impact of Foreign Direct Investment in the SADC Region,Economics,"FDI, SADC, Economic Growth"
Hedonic Analysis of Film Success Through Consumer Choice,Economics,"film industry, hedonic, consumer choice, movies, film success"
The Impact of Foreign Graduate Students and Postdoctorates on US National Innovation Capacity,Economics,"immigrants, students, innovation, technology"
Inequality and Influence on Cheating Behavior,Economics,"inequality, cheating, behavioral economics, economics"
No Such Thing As a Free Ride: Sovereign Default Risk Reduction As a Result of Monetary Union Participation,Economics,"insurance model, open economy model, monetary union, bankrupt"
An Analysis of the Impact of Underwriter Reputation on the Underpricing of New Issues,Economics,"ipo underpricing, underwriter reputation"
How Does Organizational Structure Affect the Sustainability of Nonprofit Performing Arts Organizations,Economics,"nonprofit, performing arts, sustainability, organizational structure"
It Costs an Arm and a Kidney: A Study of the Impacts of Information Costs on Organ Donation,Economics,"Organ Donation, Information Costs, Economics, Opportunity Cost"
Controlling Your Money: An Empirical Analysis of the Impacts of Government Control of the Money Supply Affects the Social Welfare of Others,Economics,political influence
Why do Employers offer Retirement Plans?,Economics,retirement plan
Corporate Hedging and Firm Value: Before and After the Financial Crisis,Economics,"risk management, corporate hedging, firm value"
The Value-Added Tax as an Optimal Solution: The Effect of VAT Use and Structure on the Distribution of Social Welfare,Economics,"Value-added, VAT, social welfare, public finance, optimal taxation"
Trade and Wage Inequality in the Upper-Middle-Income Countries,Economics,"Wage Inequality, Upper-Middle-Income Countries, Heckscher-Ohlin, Stopler Samuelson"
Inclusion of Gender in the Management of Water Resources in Rural African Communities,Economics,"water resources, collective action, common pool resources, gender roles, voice"
Examining the Effects of Socio-Cultural Factors on Women’s Bargaining Power in Tanzania,Economics,"women, bargaining power, socio-cultural factors"
Examining the Effects of Socio-Cultural Factors on Women’s Bargaining Power in Tanzania,Economics,"Women, Bargaining Power, Socio-cultural factors"
Addressing the Gender Gap in Agriculture: An Analysis of the Impact of Agricultural Technology on Gender Inequality in Developing Economies,Economics; International Relations,"gender inequality, agricultural technology, development, economic growth"
The Gift That Keeps on Taking: Modelling the Impact of a Natural Resource Shock on an Economy,Economics; Mathematics,"dutch disease, optimization, natural resources"
"Making Money, Making Sense: An Analysis of the Modern Portfolio Theory and the Performance of Alternative Risk Measures",Economics; Mathematics,portfolio and risk management
The Threshold of Justice: An Examination of Income Inequality in the United States,Economics; Philosophy,"income inequality, United States, John Rawls, political philosophy"
What is success?: A case study of the Barberton Community Development Corporation and the discourse on community development success,Economics; Sociology and Anthropology,"community development, Barberton, success"
Analysis of Eating Behavior in Autistic Children,Education,"Autism Spectrum disorder, Eating disorder, treatments"
The Relationship Between Literacy Self-Efficacy of Parents and Children in Kindergarten through Third Grade,Education; Psychology,"self-efficacy, literacy, education, parent, student"
On Stages,English,"linked short stories, creative non-fiction, alcoholism, fathers"
"Recapturing Kathy: Or, How I Learned to Write in Past Tense; A Son's Fight through the Fog of Memory Surrounding his Mother's Death",English,"memoir, mother/son, medical records, reverse chronology, memory"
Under Construction,English,"abuse, recovery, relationships, love"
"Searching For Alice: An Examination of Identity Through Dreams, Gender, Class, and Language in Lewis Carroll's Alice in Wonderland",English,"alice in wonderland, lewis carroll"
Under the Bonnet and Between the Covers: An Examination of How We Read Bonnet Fiction,English,"amish, bonnet fiction, english"
Breaking (Amish) News: Citizen Journalism in the Digital Age,English,"amish, the budget, sugarcreek, amish ponzi scheme, beard cutting"
How to Know the Animals: a Field Guide in Poetry,English,"anthropomorphism, prosopopoeia, dramatic monologue, poetry, animals, ecocriticism"
Inshallah in America: the American Dream and Arab American Literature Pre and Post 9/11,English,"arab-american, muslim, literature, american dream"
Voices Now Heard: Familial Experiences with Autism,English,"autism, narrative, disability"
Walking With a Ghost,English,"autobiographical, poetry, first person"
Born in Blood,English,"born in blood, science fiction, young adult, mutants, john doe, creative, fiction, creative independent study, the other, outsiders, powers"
Gypsy Girl: A Criticial Examination of the Female Gypsy Masquerade in British Literature,English,"British literature, Gypsy, Roma, Romany, Orientalism, Charlotte Bronte, D.H. Lawrence, Aphra Behn"
Reading Sesame Street: a Study of Literary Structures in Children's Educational Television,English,"children's television, sesame street"
Foxes and Hounds,English,"Cold War, Fiction, Short Story Collection, Awesome"
"""Enter Bottom With the Ass Head"": A Critical Study of the Metacognitive Effects of Comedy",English,"comedy, metacognition, theater, Shakespeare, Wilde, Henley, audience response theory, rhetorical analysis"
Urban Folktales: Poems and Stories from Society's Underbelly,English,"creative non-fiction, memoir, poetry, poverty, underclass, family life, drugs"
I Should Google That: A Collection of Essays,English,"creative nonfiction, personal essays, humor"
The Little Gods,English,"creative writing, poetry, prose poetry"
Mosaic House,English,"creative, nonfiction, phish, czech republic, breakfast, history channel, illness, holocaust, mgmt, paste magazine"
YUMA,English,"Cuba, travel, memoir"
"Animal, Human, Machine? Cyborgization and Its Consequences in Science Fiction",English,"cyborgization, science fiction, cyborg, english, andy tisdel"
Lovers Without Mentors: The Lover-Mentor Tradition and Counter-Tradition in Eighteenth-Century Women's Epistolary Fiction,English,"Davys, Fielding, Burney, Austen, Lover-Mentor, Epistolarity, Epistolary Novel"
"""I'm neither man nor beast, I'm something new entirely"": The Evolution of the Contemporary Hero and the Justification of Violence in the Sons of Anarchy and Dexter Television Series",English,"Dexter, Sons, of, Anarchy, television, violence, hero"
Why Can't I Take My Parrot to the Pool?,English,"disability studies, humor, personal essays, creative nonfiction"
Anchored: a Novel-In-Stories and a Brief Exploration of Why We Love Horror,English,"english, short stories, horror"
"""A Separate Peace"": Modern Masculinity in Hemingway's In Our Time",English,"Ernest Hemingway, masculinity, modernism, American Literature, In Our Time"
"Silver Hair and Golden Hearts: Stories of the Residents, Staff, and Caregivers at West View Healthy Living",English,"essay collection, elderly, retirement home"
Sexually Ever After: Cultural Impositions on Psychosexual Development in Myth and Fairy Tales,English,"fairy tales, myth, psychoanalysis, psychology, literature, sexuality, gender"
Framing Death: Celebrating the Spectacle of Fast Five and the American Killing of Osama Bin Laden,English,"fast five, osama bin laden, terrorism studies, film studies, blockbuster, hollywood, postmodern"
The Quest for an Inclusive Understanding of Heroism: A Feminist Analysis of the Hero's Journey in Young Adult Fantasy Literature,English,"feminism, heroism, fantasy, young adult, hero's journey"
Heroin Mystique: Feminist and Postfeminist Implications of Socially Deviant Behavior in Memoir,English,"feminism, postfeminism, narrative, heroin"
The Extremes of Our Own Nature: A Feminist Psychoanalytic Interpretation of Three Short Stories by Flannery O'Connor,English,"flannery o'connor, psychoanalysis"
"""On my honour as a Tully, on my honour as a Stark"": An Analysis of Catelyn Stark in George R. R. Martin’s A Song of Ice and Fire",English,"george r. r. martin, game of thrones, catelyn stark, a song of ice and fire"
"Blood Status, ""Wizard-Washing,"" and Heirarchy: A Study of Racism and Racial Relations Between the Wizard and ""The Other"" in J.K. Rowling's Harry Potter Series",English,"Harry Potter, race, racism, fantasy literature, J.K. Rowling"
Workingmen! To Arms!,English,haymarket square
In Memoriam and Moratorium: Trauma and Maturation in Young Adult Fiction,English,"identity crisis, trauma studies, young adult literature"
"The Mind, Body, and Identity through Trauma in Toni Morrison’s Song of Solomon: A Psychoanalytic and Poetic Reflection on Healing",English,"Identity, Trauma, Psychoanalysis, African American, Healing"
To Speak of Building my House:  A Life with Gastroparesis,English,"illness, chronic illness, creative nonfiction, memoir"
"The Boondocks, Double Consciousness and Minstrelsy",English,"internal and external double consciousness, minstrelsy, minstrel mask, masculinity, black masculinity, performativity"
Life of a Dead Man,English,"japan, shonen, manga"
Daily Show: Jon Stewart's Comic Court,English,"jon stewart, fox news, jester, comedy, news"
"Na(RR/VIG)ating the Labyrinth: Literary Imaginings of Repetition, Course, Horizon, and Center in the Form of the Labyrinth",English,"labyrinth, the book of the thousand nights and a night, jorge luis borges, et cetera, mark z. danielewski, house of leaves, repetition, center, horizon"
Lesbian Life Writing: a Multi Genre Exploration From the Well to Memoir,English,"lesbian, life writing, autobiography, memior, radclyffe hall, the well of loneliness"
The Truth That Lies in Fiction: Magical Realism and the Subaltern in the Americas,English,"magical realism, beloved"
Mating: a Creative Exploration of Comedic Television,English,"mating, situation comedy, television, college life, relationships, humor"
Aftermath of a Yawn: the Memoir of a Quiet Person You Can Trust (Most of the Time),English,memoir
"Give Me a Minute to Figure this Out: A Memoir of Learning, Larping, and Living a Young Life with Aspergers",English,"memoir, autism, aspergers, english"
That Hat Makes You Look like a Lesbian,English,"Memoir, Coming Out, Lesbian, Gay, LGBT, LGBTQ+, Queer Theory"
From Compost to Gram's Kitchen: a Cultural History of Food,English,"memoir, food, agriculture"
Pieces of Petersburg,English,"memoir, Russia, St. Petersburg, montage"
The Young Man and the Lake: An Exploration of Hemingway in Michigan,English,"michigan, hemingway, critical, creative"
The Immortal Story: An Examination of J.M. Barrie's Myth-Tale Peter and Wendy and an Explanation of its Relevance and Permanence within Society,English,"myth, fairy tale, archetypes, J.M. Barrie, Peter and Wendy, Peter Pan"
The Inevitable Fate of Charlie Drake,English,"mythology, creative, fiction, novel"
"Narrative Agency in Native America: Overcoming the Myth of ""Native American Fiction""",English,"Native American Literature, narrative agency, Vizenor, Silko, Momaday, postcolonial, hybridity"
"Breaking Patriarchy: the Utopias and Discontents of Gilman, Atwood, Le Guin, and Burgess",English,"patriarchy, feminist utopias, dystopia, atwood, burgess, le guin, gilman"
Paralysis: An Urban Liberation,English,"playwriting, paralysis, liberation, urban, urbanism, metropolitan, separation, neighborhood affects"
Seams You Wear,English,"poems, creative, poem cycles"
Since It Began: a Collection of Poetic Daguerreotypes,English,poetry collection
"Inside the ""Strategery"" of Impression: a Study of Political Satire on Saturday Night Live",English,"political impressions, saturday night live, satire"
Literature of Imprisonment: Creativity and Constraint,English,"Prison, theory, discourse, freedom"
This Is How Girls Walk,English,"queer, gender, sexuality, coming of age"
What Science Says: Popular Science Rhetoric in Contemporary American Society,English,"science, rhetoric, humanities, popular science"
C.O.W.Z.,English,"screenplay, english, creative writing, zombies, apocalypse, cow"
The Jackson Thieves,English,"screenplay, western, film studies"
The Seven Deadly Sins,English,"seven deadly sins, pride, lust, gluttony, greed, wrath, envy, sloth"
Imprisoned Beyond Walls: the Prison Wife Perspective and the Manifestation of Internal Confinement,English,"The College of Wooster, Senior I.S., Cora Bucher, Prison, Women's perspectives, Captivity, Freedom, Patriarchy, Internal Confinement, Self-prisonization, Imprisonment, Waiting, Love, Defamiliarization, Gender theory, Judith Butler, Visiting Life, The Prisoner's Wife"
